ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity,Duration,Magnitude
3954,,Nigeria,,8.0195,10.5918,45292.27,2012-07-22,2012-07-25,News,50,2000,Heavy Rain,1.5,3.0,12.224969053510108
3955,,North Korea,,126.027,38.7791,33081.58,2012-07-20,2012-08-06,News,169,63000,Heavy Rain,2.0,17.0,13.933092435611965
3956,,Philippines,,121.037,15.9469,59723.23,2012-07-28,2012-08-06,News,3,13000,Tropical Storm Saola,1.5,9.0,13.600166021368352
3957,,Costa Rica,,-81.1113,8.79605,20820.98,2012-07-28,2012-07-30,News,1,1500,Heavy Rain,1.0,2.0,10.636863591746021
3958,,China,,110.85,34.7959,100600.98,2012-07-25,2012-07-30,News,0,40000,Heavy Rain,1.5,5.0,13.533820298693287
3959,,India,,78.8529,30.1135,31390.53,2012-08-04,2012-08-06,News,30,1200,Torrential Rain,1.5,2.0,11.452873822719646
3960,,India,,82.3216,19.4398,35689.54,2012-08-03,2012-08-06,News,0,2000,Monsoonal Rain,1.0,3.0,11.581225216304896
3961,,Sudan,,22.6608,13.6223,89290.09,2012-08-04,2012-08-06,News,5,800,Torrential Rain,1.5,2.0,12.498258075130483
3962,,Scotland,,-2.59334,55.5746,4260.88,2012-08-04,2012-08-06,News,0,0,Torrential Rain,1.0,2.0,9.050378171260098
3963,,China,,122.594,40.5195,9559.89,2012-08-03,2012-08-06,News,2,800000,Typhoons  Damrey and Saola,2.0,3.0,10.957090968931153
3964,,Nigeria,,11.2812,7.42738,16652.25,2012-08-02,2012-08-06,News,0,3000,Torrential Rain,1.5,4.0,11.51206009064185
3965,,China,,103.73,31.1602,107983.97,2012-08-14,2012-08-20,News,13,14600,Monsoonal Rain,1.0,6.0,13.381497538392269
3966,,India,,82.7962,20.9855,29689.98,2012-08-16,2012-08-20,News,1,210,Monsoonal Rain,1.0,4.0,11.684859255249986
3967,,Niger,,3.88146,14.6081,75976.73,2012-08-06,2012-09-07,News,52,125000,Heavy Rain,1.5,32.0,15.109383399081876
3968,FL-2012-000150-SDN,South Sudan,Sudan,30.2188,9.69113,456058.52,2012-08-01,2012-08-29,News,32,154000,Heavy Rain,1.5,28.0,16.76804603187921
3969,FL-000139-JPN,Japan,,135.556,34.6167,10669.97,2012-08-12,2012-08-20,News,3,1000,Torrential Rain,1.5,8.0,11.760095182458478
3970,,Myanmar,,97.8535,16.5919,219814.61,2012-07-15,2012-08-29,News,0,85000,Monsoonal Rain,1.0,45.0,16.10720227803072
3971,,Senegal,,-15.4943,14.462,79242.7,2012-08-24,2012-08-29,News,4,1200,Torrential Rain,1.5,5.0,13.295173594474408
3972,,Nigeria,,4.12488,14.316,48922.93,2012-08-24,2012-08-29,News,10,20000,Torrential Rain,1.5,5.0,12.812904502253824
3973,TC-2012-000152-HTI,Haiti,,-72.2827,19.1356,4904.1,2012-08-25,2012-08-29,News,19,15000,Tropical Storm Isaac,1.5,4.0,10.289586338153327
3974,FF-2012-000148-PAK,Pakistan,,73.5222,35.0305,98264.36,2012-08-23,2012-08-29,News,26,1200,Monsoonal Rain,1.5,6.0,13.692641254148537
3975,,China,,106.115,37.3916,45130.63,2012-08-25,2012-08-29,News,6,30,Torrential Rain,1.5,4.0,12.509075921623724
3976,,Nigeria,Camaroun,12.1089,9.30166,96830.55,2012-08-25,2012-09-26,News,127,20000,Heavy Rain,1.5,32.0,15.35191883355517
3977,,USA,,-89.346,30.503,83938.23,2012-08-28,2012-09-07,News,1,60000,Hurricane Isaac,1.5,10.0,14.045886651277119
3978,FL-2012-000161-VNM,Vietnam,,105.458,19.0626,16825.58,2012-09-02,2012-09-07,News,6,5000,Torrential Rain,1.0,5.0,11.340093538864009
3979,TC-2012-000159-PRK,North Korea,South Korea,126.246,38.1949,24179.42,2012-08-17,2012-09-07,News,59,24000,Tropical Storms,1.5,21.0,13.543244682946762
3980,,Uganda,,32.726,2.65647,57981.45,2012-08-20,2012-09-07,News,0,15000,Heavy Rain,1.0,18.0,13.858250168682764
