,Economics,Governance,Social,Capacity,Ecosystem,Exposure,Food,Habitat,Health,Infrastructure,Sensitivity,Magnitude,Population,Population Density (People per Sq. Km.),"Net international migrants, both sexes",Febuary,March,April,May,June,July,August,September,October,November,December,Storms,DamBreak,Rain,Melting,TidesTsunami,binnedIDPs
31,0.139843631286995,0.30811211418224,0.189990242704277,0.734707372854231,0.546139611613809,0.543063453849043,0.571512780866049,0.680375543420274,0.583568168451215,0.29871878598905,0.273778145427693,12.448232279601372,27292819,21.9,14473,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,high
32,0.139843631286995,0.30811211418224,0.189990242704277,0.734707372854231,0.546139611613809,0.543063453849043,0.571512780866049,0.680375543420274,0.583568168451215,0.29871878598905,0.273778145427693,12.279827580373558,27292819,21.9,14473,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
33,0.139843631286995,0.30811211418224,0.189990242704277,0.734707372854231,0.546139611613809,0.543063453849043,0.571512780866049,0.680375543420274,0.583568168451215,0.29871878598905,0.273778145427693,12.448232279601372,27292819,21.9,14473,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
34,0.139843631286995,0.30811211418224,0.189990242704277,0.734707372854231,0.546139611613809,0.543063453849043,0.571512780866049,0.680375543420274,0.583568168451215,0.29871878598905,0.273778145427693,12.279827580373558,27292819,21.9,14473,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
35,0.139843631286995,0.30811211418224,0.189990242704277,0.734707372854231,0.546139611613809,0.543063453849043,0.571512780866049,0.680375543420274,0.583568168451215,0.29871878598905,0.273778145427693,12.448232279601372,27292819,21.9,14473,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
36,0.139843631286995,0.30811211418224,0.189990242704277,0.734707372854231,0.546139611613809,0.543063453849043,0.571512780866049,0.680375543420274,0.583568168451215,0.29871878598905,0.273778145427693,12.279827580373558,27292819,21.9,14473,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
37,0.235753328845702,0.302502356817146,0.192150374596265,0.736413407263971,0.544102764746767,0.543063453849043,0.581252062160163,0.687630290789978,0.59851926212208,0.297012481498327,0.285666797879739,12.976288361448535,29310737,23.5,6563,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
38,0.235753328845702,0.302502356817146,0.192150374596265,0.736413407263971,0.544102764746767,0.543063453849043,0.581252062160163,0.687630290789978,0.59851926212208,0.297012481498327,0.285666797879739,12.976288361448535,29310737,23.5,6563,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
39,0.235753328845702,0.302502356817146,0.192150374596265,0.736413407263971,0.544102764746767,0.543063453849043,0.581252062160163,0.687630290789978,0.59851926212208,0.297012481498327,0.285666797879739,12.976288361448535,29310737,23.5,6563,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,high
40,0.239751108597281,0.332524660783688,0.193087540214462,0.741166018939889,0.543633545527548,0.543063453849043,0.587409483748035,0.69433736735126,0.613367567238784,0.293178506140989,0.292385483103919,16.015877489596363,30356114,24.3,3968,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
41,0.239751108597281,0.332524660783688,0.193087540214462,0.741166018939889,0.543633545527548,0.543063453849043,0.587409483748035,0.69433736735126,0.613367567238784,0.293178506140989,0.292385483103919,16.015877489596363,30356114,24.3,3968,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
42,0.239751108597281,0.332524660783688,0.193087540214462,0.741166018939889,0.543633545527548,0.543063453849043,0.587409483748035,0.69433736735126,0.613367567238784,0.293178506140989,0.292385483103919,16.015877489596363,30356114,24.3,3968,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,low
43,0.248301915288158,0.338692596987389,0.201402341186564,0.74002618560842,0.543210438280513,0.543063453849043,0.591226310424886,0.695814954680452,0.618826783002145,0.290483120623097,0.297095809718157,11.968635171109424,32521837,26.1,-6760,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,high
44,0.248301915288158,0.338692596987389,0.201402341186564,0.74002618560842,0.543210438280513,0.543063453849043,0.591226310424886,0.695814954680452,0.618826783002145,0.290483120623097,0.297095809718157,11.968635171109424,32521837,26.1,-6760,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
45,0.248301915288158,0.338692596987389,0.201402341186564,0.74002618560842,0.543210438280513,0.543063453849043,0.591226310424886,0.695814954680452,0.618826783002145,0.290483120623097,0.297095809718157,11.968635171109424,32521837,26.1,-6760,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
46,0.248301915288158,0.338692596987389,0.201402341186564,0.74002618560842,0.543210438280513,0.543063453849043,0.591226310424886,0.695814954680452,0.618826783002145,0.290483120623097,0.297095809718157,14.571890349519704,32521837,26.1,-6760,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
47,0.248301915288158,0.338692596987389,0.201402341186564,0.74002618560842,0.543210438280513,0.543063453849043,0.591226310424886,0.695814954680452,0.618826783002145,0.290483120623097,0.297095809718157,14.571890349519704,32521837,26.1,-6760,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
