,ISO3,IDPs from Event,Economics,Governance,Social,Capacity,Ecosystem,Exposure,Food,Habitat,Health,Infrastructure,Sensitivity,Area,Began,Severity,Duration,Magnitude,Population,Population Density (People per Sq. Km.),"Net international migrants, both sexes",Scaled_IDP,Storms,DamBreak,Rain,Melting,TidesTsunami
0,AFG,270,0.178627647349186,0.172591804585367,0.335777222679844,0.757451391260637,0.507906785128327,0.480512047744651,0.580915689259787,0.537736200519961,0.832165418895316,,0.437180641494224,14653.47,2013-04-23,1.0,6.0,11.384191915694611,"31,098,161",47.7,"-67,219",270,0.0,0.0,1.0,0.0,0.0
1,AFG,740,0.201494577363424,0.193779720403057,0.341216286913188,0.732208431539416,0.503280019829067,0.480512047744651,0.576083301550947,0.539342812714152,0.828587007897404,,0.436658596768956,83722.34,2014-04-20,1.5,26.0,14.99882277260954,"31,809,829",48.8,"-58,115",740,0.0,0.0,1.0,0.0,0.0
2,AFG,244,0.201494577363424,0.193779720403057,0.341216286913188,0.732208431539416,0.503280019829067,0.480512047744651,0.576083301550947,0.539342812714152,0.828587007897404,,0.436658596768956,83722.34,2014-04-20,1.5,26.0,14.99882277260954,"31,809,829",48.8,"-58,115",245,0.0,0.0,1.0,0.0,0.0
3,AFG,5775,0.201494577363424,0.193779720403057,0.341216286913188,0.732208431539416,0.503280019829067,0.480512047744651,0.576083301550947,0.539342812714152,0.828587007897404,,0.436658596768956,44203.93,2014-06-03,1.5,7.0,13.047944235303799,"31,809,829",48.8,"-58,115",5775,0.0,0.0,1.0,0.0,0.0
4,AFG,46380,0.210239720570002,0.158259879783853,0.354043003322206,0.711202623960146,0.5091979754444,0.480512047744651,0.615954210279613,0.534951857738651,0.817629190341863,,0.467997568293488,184396.9,2018-05-09,1.5,13.0,15.095260244253193,"34,907,481",53.5,"-21,703",46380,0.0,0.0,1.0,0.0,0.0
5,AFG,7588,0.210239720570002,0.158259879783853,0.354043003322206,0.711202623960146,0.5091979754444,0.480512047744651,0.615954210279613,0.534951857738651,0.817629190341863,,0.467997568293488,184396.9,2018-05-09,1.5,13.0,15.095260244253193,"34,907,481",53.5,"-21,703",7589,0.0,0.0,1.0,0.0,0.0
6,AFG,533,0.210239720570002,0.158259879783853,0.354043003322206,0.711202623960146,0.5091979754444,0.480512047744651,0.615954210279613,0.534951857738651,0.817629190341863,,0.467997568293488,184396.9,2018-05-09,1.5,13.0,15.095260244253193,"34,907,481",53.5,"-21,703",533,0.0,0.0,1.0,0.0,0.0
7,AFG,192,0.210239720570002,0.158259879783853,0.354043003322206,0.711202623960146,0.5091979754444,0.480512047744651,0.615954210279613,0.534951857738651,0.817629190341863,,0.467997568293488,184396.9,2018-05-09,1.5,13.0,15.095260244253193,"34,907,481",53.5,"-21,703",192,0.0,0.0,1.0,0.0,0.0
8,AFG,207,0.210239720570002,0.158259879783853,0.354043003322206,0.711202623960146,0.5091979754444,0.480512047744651,0.615954210279613,0.534951857738651,0.817629190341863,,0.467997568293488,184396.9,2018-05-09,1.5,13.0,15.095260244253193,"34,907,481",53.5,"-21,703",207,0.0,0.0,1.0,0.0,0.0
9,AFG,52,0.224048915742596,0.166566874074683,0.355649134143506,0.70915898769492,0.509142750443785,0.480512047744651,0.595323049388078,0.533710394331387,0.818924110514691,,0.455798545191375,441236.3,2019-02-26,1.5,4.0,14.789095307817055,"35,739,709",54.8,"-12,599",52,0.0,0.0,1.0,0.0,0.0
10,AFG,7,0.224048915742596,0.166566874074683,0.355649134143506,0.70915898769492,0.509142750443785,0.480512047744651,0.595323049388078,0.533710394331387,0.818924110514691,,0.455798545191375,441236.3,2019-02-26,1.5,4.0,14.789095307817055,"35,739,709",54.8,"-12,599",4,0.0,0.0,1.0,0.0,0.0
11,AFG,3578,0.224048915742596,0.166566874074683,0.355649134143506,0.70915898769492,0.509142750443785,0.480512047744651,0.595323049388078,0.533710394331387,0.818924110514691,,0.455798545191375,441236.3,2019-02-26,1.5,4.0,14.789095307817055,"35,739,709",54.8,"-12,599",3578,0.0,0.0,1.0,0.0,0.0
12,AFG,243,0.224048915742596,0.166566874074683,0.355649134143506,0.70915898769492,0.509142750443785,0.480512047744651,0.595323049388078,0.533710394331387,0.818924110514691,,0.455798545191375,441236.3,2019-02-26,1.5,4.0,14.789095307817055,"35,739,709",54.8,"-12,599",243,0.0,0.0,1.0,0.0,0.0
13,AFG,155,0.224048915742596,0.166566874074683,0.355649134143506,0.70915898769492,0.509142750443785,0.480512047744651,0.595323049388078,0.533710394331387,0.818924110514691,,0.455798545191375,441236.3,2019-02-26,1.5,4.0,14.789095307817055,"35,739,709",54.8,"-12,599",155,0.0,0.0,1.0,0.0,0.0
14,AFG,7,0.224048915742596,0.166566874074683,0.355649134143506,0.70915898769492,0.509142750443785,0.480512047744651,0.595323049388078,0.533710394331387,0.818924110514691,,0.455798545191375,441236.3,2019-02-26,1.5,4.0,14.789095307817055,"35,739,709",54.8,"-12,599",4,0.0,0.0,1.0,0.0,0.0
15,AFG,52,0.224048915742596,0.166566874074683,0.355649134143506,0.70915898769492,0.509142750443785,0.480512047744651,0.595323049388078,0.533710394331387,0.818924110514691,,0.455798545191375,133359.74,2019-05-22,1.5,4.0,13.592565037040751,"35,739,709",54.8,"-12,599",52,0.0,0.0,1.0,0.0,0.0
