"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"AFG","Afghanistan",0.49649740819867,0.49649740819867,0.49649740819867,0.49649740819867,0.49649740819867,0.49649740819867,0.49649740819867,0.49649740819867,0.49649740819867,0.49649740819867,0.33607261448688,0.249236581387485,0.244378168494942,0.233300987099942,0.223551771895571,0.213381494240514,0.177526407093543,0.175064811227986,0.178627647349186,0.201494577363424,0.200231390011362,0.261155887683859,0.238742409539591,0.210239720570002,0.224048915742596,0.213706063212919,0.213706063212919
"ALB","Albania",0.393304718361044,0.393304718361044,0.393304718361044,0.393304718361044,0.393304718361044,0.393304718361044,0.393304718361044,0.393304718361044,0.393304718361044,0.393304718361044,0.373028941889495,0.302776291463315,0.296687080637994,0.299569738954236,0.333772965717744,0.317545866656648,0.318258433880887,0.324703928318328,0.338534210352436,0.366324332097786,0.392592151136805,0.37137708150603,0.376041157882873,0.385142584701571,0.368236657394655,0.362694692799314,0.362694692799314
"DZA","Algeria",0.416625100245253,0.416625100245253,0.416625100245253,0.416625100245253,0.416625100245253,0.416625100245253,0.416625100245253,0.416625100245253,0.416625100245253,0.416625100245253,0.377952133620607,0.293545306967482,0.292249730196138,0.298371330440742,0.293124244516796,0.264006156580817,0.251179946544503,0.246353923071242,0.256524200726301,0.264491997870072,0.269901030890437,0.285383173308009,0.329821456565141,0.324865875414747,0.333212729981072,0.32364317483679,0.32364317483679
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.289057058866752,0.289057058866752,0.289057058866752,0.289057058866752,0.289057058866752,0.289057058866752,0.289057058866752,0.289057058866752,0.289057058866752,0.289057058866752,0.240121273389094,0.132440335450738,0.13799280732793,0.135179554910153,0.150504377291205,0.0980520262913248,0.0980520262913248,0.124259693551674,0.148949685165591,0.149615981790854,0.139843631286995,0.222871594090616,0.235753328845702,0.239751108597281,0.240090233528947,0.248301915288158,0.248301915288158
"ATG","Antigua and Barbuda",0.494942716073055,0.494942716073055,0.494942716073055,0.494942716073055,0.494942716073055,0.494942716073055,0.494942716073055,0.494942716073055,0.494942716073055,0.494942716073055,0.556093939680537,0.465792238717793,0.471201271738159,0.470294367998217,0.457079484930499,0.490084303180512,0.473371362830161,0.463848873560776,0.443637875927795,0.465047282074271,0.456885148414797,0.444415221990602,0.421256787202811,0.440560881095851,0.43145371865082,0.424139614213945,0.424139614213945
"ARG","Argentina",0.390098165851965,0.390098165851965,0.390098165851965,0.390098165851965,0.390098165851965,0.390098165851965,0.390098165851965,0.390098165851965,0.390098165851965,0.390098165851965,0.393661001973163,0.310161079059981,0.33704429706539,0.334744648296252,0.333449071524907,0.318420380977306,0.297108143088681,0.292703182066108,0.261285445360993,0.261091108845292,0.249560475580321,0.269544747278317,0.277804049195641,0.273496256430919,0.286847107581673,0.285364954259663,0.285364954259663
"ARM","Armenia",0.458407451121127,0.458407451121127,0.458407451121127,0.458407451121127,0.458407451121127,0.458407451121127,0.458407451121127,0.458407451121127,0.458407451121127,0.458407451121127,0.496432629360102,0.431977684985691,0.448755404174607,0.458666566475396,0.445872745858365,0.448140005208219,0.452318240295807,0.461549224791639,0.509485565331402,0.566426164432012,0.589584599219804,0.607528337502932,0.604095059058867,0.606135592473736,0.633091011892963,0.627291281502489,0.627291281502489
"AUS","Australia",0.504853878373844,0.504853878373844,0.504853878373844,0.504853878373844,0.504853878373844,0.504853878373844,0.504853878373844,0.504853878373844,0.504853878373844,0.504853878373844,0.527234967098828,0.624532782626833,0.642541299748529,0.649278298959523,0.641763953685722,0.668614782271846,0.668355666917577,0.668031772724741,0.68205639127455,0.724162636343261,0.713441738560381,0.688307549196288,0.676938863027737,0.682477453725237,0.674687967082417,0.666954993228453,0.666954993228453
"AUT","Austria",0.45860178763683,0.45860178763683,0.45860178763683,0.45860178763683,0.45860178763683,0.45860178763683,0.45860178763683,0.45860178763683,0.45860178763683,0.45860178763683,0.478974732366229,0.55800491541827,0.566523332689864,0.56461235695213,0.538474095590245,0.550652517240888,0.555122257102029,0.552401545882204,0.588936810834131,0.629715089712214,0.629132080165108,0.586701940903561,0.584337513295856,0.576564052667787,0.567457396307433,0.559466656658336,0.559466656658336
"AZE","Azerbaijan",0.439459640840207,0.439459640840207,0.439459640840207,0.439459640840207,0.439459640840207,0.439459640840207,0.439459640840207,0.439459640840207,0.439459640840207,0.439459640840207,0.440949554127255,0.336137393325447,0.348445372653225,0.360364678949599,0.456658422479812,0.417855898178031,0.437062823813219,0.426309536611057,0.43929769374379,0.508384325075759,0.535332321919734,0.590718228894731,0.550555348983037,0.554021016846384,0.6025457651698,0.588851957303404,0.588851957303404
"BHS","Bahamas",0.493776696978844,0.493776696978844,0.493776696978844,0.493776696978844,0.493776696978844,0.493776696978844,0.493776696978844,0.493776696978844,0.493776696978844,0.493776696978844,0.554927920586326,0.762090646324384,0.769734549275319,0.475638622180016,0.469581800773977,0.469970473805382,0.458666566475396,0.448949740690309,0.442407077995017,0.462067455500176,0.459832585569607,0.442536635672151,0.422908647586276,0.424625286808307,0.43631904803394,0.417824352233207,0.417824352233207
"BHR","Bahrain",0.490472976211915,0.490472976211915,0.490472976211915,0.490472976211915,0.490472976211915,0.490472976211915,0.490472976211915,0.490472976211915,0.490472976211915,0.490472976211915,0.551624199819397,0.758786925557455,0.76643082850839,0.573972899125097,0.57390812028653,0.571122630228139,0.566393775012729,0.568596255524015,0.585212027616514,0.618832244832917,0.623172427016921,0.59920425674704,0.603123376480359,0.599398593262742,0.588046439193615,0.661219704286762,0.661219704286762
