"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"AFG","Afghanistan",-0.0273093950916775,-0.0273102145137729,-0.0256124785778004,-0.0239146998446054,-0.0254338040356041,-0.0269523076298194,-0.0207642915983215,-0.0145599617447926,-0.0110574780406191,-0.0153936714198878,-0.0686274663430524,-0.102990265041827,-0.109931501747124,-0.116271995370656,-0.11723573989913,-0.119088450102944,-0.128566726705592,-0.114120536565142,-0.11284875784711,-0.0965819930726645,-0.0972354324938928,-0.0858654756704244,-0.0957213735504841,-0.101227052163986,-0.0935935044829835,-0.104480991106794,-0.0935269903295384
"ALB","Albania",-0.0114125060207063,-0.0124109922023585,-0.0145802901673647,-0.0199118314842067,-0.0207859736798131,-0.0215958856854866,-0.0176836991417111,-0.0131786112577651,-0.0167136157593503,-0.0106133613791008,-0.0239634907002959,-0.0399667933253119,-0.0304806862706051,-0.0217828312918111,-0.00403382788199214,-0.00647491787662585,-0.00998316114566383,-0.00452466700020598,0.00797518692784754,0.0281949582481252,0.0324014998612711,0.0244620800903593,0.0220807636738902,0.020691929873483,0.00954179689818135,0.0094976067924496,0.00351584958432116
"DZA","Algeria",-0.0655162245285258,-0.0659007354675168,-0.0697167259734366,-0.0745044415923524,-0.0717223575168152,-0.0693868149974246,-0.0649024834692685,-0.0609636725400696,-0.0590665125622601,-0.0529995573783419,-0.0560572336395581,-0.091186550983543,-0.0935009796334149,-0.0922570213148959,-0.0998515842234495,-0.112828796701195,-0.121606952947211,-0.120375418008028,-0.106356696390839,-0.108759943985734,-0.0982082849001525,-0.0867658871760747,-0.0644986489214783,-0.0641359035966992,-0.0636239982152899,-0.0578465807551925,-0.0562233522992957
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",-0.154475397503556,-0.15595879568627,-0.158087576265492,-0.15980678679179,-0.159140435320271,-0.158678524297863,-0.151227551207877,-0.145134930991625,-0.132638224358335,-0.134836782001972,-0.146296931650837,-0.170929199135898,-0.171243352184267,-0.167138975598431,-0.158794048349724,-0.173679785155885,-0.176140126493666,-0.166742084676694,-0.159165461294001,-0.154347336861996,-0.153907604794773,-0.124835160807944,-0.122812482854781,-0.110339275205083,-0.106721926907196,-0.0994363947539475,-0.0947266763112557
"ATG","Antigua and Barbuda",0.0621104890001287,0.0586115897760889,0.0559693913535823,0.0539839794724845,0.0527588635673567,0.0497406346539817,0.0536945944741487,0.0558586527100363,0.0537411235074008,0.048585113090558,0.0544437035800533,0.0188772949483495,0.00991793986234385,0.0168504254936184,0.0353599038884648,0.054446175071732,0.0491325068592078,0.0610281574148822,0.0584441167620166,0.0313870763269025,0.0403104793883755,0.0280149057920341,0.00950301990780605,0.013494459737671,0.00856994868260241,0.0295153411207379,0.017586174228463
"ARG","Argentina",0.00242304150802541,0.00246864404569397,-0.00748589010632478,-0.0138148507132215,-0.0115532100000598,-0.00980994693432358,-0.0341125656047827,-0.0468386649257593,-0.0416280627382901,-0.0439274664990563,-0.0281003579093598,-0.0587915356538368,-0.0551116918450463,-0.0659702460101962,-0.064517286903327,-0.0645934176978225,-0.0673361221512264,-0.074564028127521,-0.0874960187719756,-0.0929616269768427,-0.0904287103232745,-0.0550844224500025,-0.0666014659694061,-0.0622705784970145,-0.0632923483459419,-0.0480982852517027,-0.0681504783447601
"ARM","Armenia",0.0373534918965599,0.0326588552172364,0.0244383660049785,0.0320875096137249,0.037365215700305,0.038547249534982,0.045044389876174,0.0608718745401559,0.0707788079716976,0.0557161246731722,0.0749779450674358,0.0532570520139911,0.055854077003271,0.071122148005933,0.0660513379250413,0.0665728885446363,0.0642553149093085,0.067137831645268,0.080091628601892,0.0919261787137434,0.0997901191261468,0.105495196203447,0.0961796703144893,0.102627040132541,0.107586657848236,0.105147127745958,0.0997415663691962
"AUS","Australia",0.153526852954098,0.152099659389468,0.150024311131061,0.148094562358192,0.149924705913393,0.153047207444821,0.153294559924731,0.149413692260927,0.149078024123481,0.15038501688665,0.149258547760317,0.184444492163688,0.183037896251268,0.186762169187258,0.165312343653297,0.176778564398508,0.167898448267635,0.167357770474487,0.163281411045332,0.160283847271881,0.160999587702325,0.15653086044389,0.137775396155084,0.134222294243722,0.124798838429151,0.105517045941233,0.0932524953183554
"AUT","Austria",0.159783487141828,0.161941834288356,0.159578414607119,0.154745430511551,0.154414789846897,0.149824115176867,0.156748296158634,0.156402018370512,0.149242946768153,0.147572564751896,0.151021310077412,0.168420586282686,0.171537662347014,0.160058760074125,0.145647963383002,0.147891863173756,0.137182175151618,0.131895346217596,0.139413471863968,0.14830618100397,0.140903228008225,0.111976577987834,0.108465817334256,0.0950864206172066,0.0768955918400226,0.0846552924280587,0.0679147179115386
"AZE","Azerbaijan",-0.0274478681893494,-0.0301468425746115,-0.0259110497074467,-0.0217310546458743,-0.0208956381378733,-0.0210952590695941,-0.0205144963269296,0.014800560508296,0.0190036382275559,0.0205053260341035,0.0197462380040908,-0.0385697856337713,-0.0467901055191386,-0.0551720738159986,-0.0238134017763467,-0.0370633469953113,-0.0349069340579502,-0.0457698487311922,-0.0305168879839768,-0.00588014832625233,0.0150352955161577,0.0376297802037266,0.0279720729310767,0.0278005557437255,0.0457163312210359,0.0341023268701638,0.0403921233502257
"BHS","Bahamas",0.0153213192491977,0.0116091711471393,0.00759621146874351,0.0164304665068332,0.00761602449152882,0.00649684172718695,0.00568268482589124,0.00743781236810037,0.00530848067949324,0.00569175047477855,0.0190184028048959,0.0755287674082087,0.075924769154453,-0.0175823504887055,-0.0201150054117727,-0.0239074027449461,-0.0252332901577383,-0.0239335031708633,-0.0313827055292086,-0.0330469207583793,-0.0397523203811074,-0.0473100403434122,-0.064018850480882,-0.0724412114547843,-0.0769412051623571,-0.0409889819192154,-0.0615780941935765
"BHR","Bahrain",-0.110414841452592,-0.113649785593799,-0.111765795837688,-0.111481771780912,-0.112193172432456,-0.115983148716864,-0.105813995299328,-0.0979141197511255,-0.111590141900352,-0.11604852287276,-0.108461920609512,-0.0544503848083437,-0.0493110140712384,-0.108022485722154,-0.0956670638826134,-0.104634925382068,-0.108156366538032,-0.123541644409335,-0.121985136746792,-0.095318412282522,-0.0664396983899074,-0.0716855722957056,-0.0967630776991283,-0.10077123285107,-0.102577675347261,-0.0652638342703674,-0.0699523886032828
