"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"AFG","Afghanistan",0.30923369422379,0.309232874801695,0.310930610737667,0.312628389470862,0.311109285279864,0.309590781685648,0.315778797717146,0.321983127570675,0.325616116982895,0.321285450814386,0.268544025482449,0.234395609050203,0.228242138623454,0.222134630598588,0.222304415280437,0.221380316905592,0.211801248566416,0.227235922716609,0.228998891538132,0.24549686155989,0.244925418846493,0.255800963163146,0.246287620124166,0.240847534558687,0.248754974653595,0.237433403401424,0.246442145333371
"ALB","Albania",0.333298627338425,0.333790314654001,0.330375475765365,0.326482709321192,0.32774409102321,0.328781560900546,0.334774387043505,0.340991716701983,0.339063298220828,0.347190061826807,0.335914098680163,0.323230899588479,0.336123348727435,0.349297305314632,0.369820380507198,0.371243536617996,0.370480717901192,0.377449077093295,0.390160915366121,0.413643881175562,0.419744760369569,0.413795976840858,0.414696110786857,0.416754744988444,0.409915152615103,0.408106923930174,0.410559121234659
"DZA","Algeria",0.300426043323337,0.301448227665688,0.298030474632534,0.294915752343354,0.298893349437836,0.303030218131206,0.309080469725051,0.315453849791394,0.320830035529013,0.329576694722593,0.330428593443657,0.297115614131675,0.297320102390934,0.300088930441205,0.292754309280643,0.281541232900584,0.274671101764543,0.274972343268133,0.287840851999555,0.285216628908776,0.291092497411896,0.300703269532151,0.323558503070654,0.324852922702999,0.325895758024654,0.32845276235374,0.33334509314068
"AND","Andorra",0.161941177338548,0.166753030103433,0.172121462474412,0.182346525941474,0.189198065630854,0.195602545222711,0.199861389423673,0.200901049953252,0.217021455439891,0.239013104299924,0.26149207118423,0.28712895710303,0.327058247777987,0.334183017593236,0.354135538456267,0.365111376598524,0.370387539488606,0.375029508603767,0.379197609973681,0.383556043122844,0.39163802375125,0.397453323715179,0.4022733653379,0.404315962673587,0.464556159737925,0.474734064510384,0.478714965470705
"AGO","Angola",0.190125220111456,0.190124741910859,0.188772856939964,0.187416589537802,0.18813317238252,0.188902957018386,0.196836282852555,0.20479205803083,0.21755629214894,0.217170487520387,0.208599074118968,0.186462545998717,0.189416184383743,0.196155857080744,0.203821918819824,0.189617287478655,0.187695097682707,0.200360426264116,0.209144062111648,0.216233574355031,0.212648662724504,0.240550422824454,0.243468686753038,0.255121103198477,0.257971182456814,0.262798951154037,0.268117798333208
"ATG","Antigua and Barbuda",0.457085617317099,0.457599268212202,0.458403996178709,0.459186584621773,0.460440382981048,0.462581623123035,0.463399297403838,0.466572146349079,0.469920873814889,0.471001290708358,0.484572329332768,0.463432250690408,0.466548103885653,0.473968379644453,0.47654306952358,0.48690414511997,0.480471427684805,0.488904517165689,0.482663877476001,0.4570812311358,0.4656535288887,0.4586478806878,0.440076522209338,0.45276716276958,0.454455849333439,0.452971622646459,0.449260130429268
"ARG","Argentina",0.381547061779991,0.384468915672754,0.378840867956095,0.374578878776765,0.375068536583736,0.376983825583447,0.350862412849181,0.332596298668344,0.34246986104035,0.345802458570356,0.368035815444959,0.343901310068622,0.355231273023286,0.348290825013531,0.344589694541179,0.353114046433595,0.356336611220601,0.350621581049965,0.340014080756402,0.332425075778598,0.336955848974195,0.37326093726281,0.377337193309307,0.380215334572922,0.377831097613249,0.382406071823466,0.376037316185072
"ARM","Armenia",0.37776288449027,0.373783945438461,0.366105338137059,0.374669959484683,0.380566061141901,0.382814364623994,0.390937726965202,0.408977238513928,0.4216160870476,0.40920787068783,0.432364825634068,0.415072335590892,0.422913526274534,0.441581019396584,0.431523126670907,0.433400778702788,0.433692410140127,0.443143745007767,0.458731233661034,0.471950028839652,0.479896358338369,0.48955770302736,0.48755604669493,0.498923738454028,0.510398427452147,0.504011894978413,0.50573276439272
"AUS","Australia",0.585329853530559,0.589085433502283,0.591717349317266,0.595732381593734,0.602733670528922,0.610847454073388,0.616333180240108,0.619044801459473,0.623874646364098,0.632957514746212,0.63785945129725,0.681601447367227,0.688756505121555,0.696694705460669,0.688465660239817,0.69546129427494,0.699165335888047,0.702555536716244,0.712987855775838,0.71460976556861,0.71233518910899,0.712597793097723,0.699297965436764,0.704243550956091,0.702955390922788,0.689160831345969,0.690552124980166
"AUT","Austria",0.604200915108329,0.610448176832889,0.612190377565025,0.613278454092509,0.617360601985354,0.6211856067364,0.629659086013085,0.63628256768289,0.633708582060751,0.639756740975707,0.649082498942036,0.679025727311375,0.690561663409284,0.687998192551548,0.671701999875035,0.679107436642739,0.679990813771632,0.684207231279972,0.69866905958786,0.711722511703847,0.709374026414045,0.693807173793945,0.697355154929126,0.697188553806065,0.692255512067975,0.686946334612181,0.68230738466746
"AZE","Azerbaijan",0.315611176593918,0.313144720945306,0.318120014878245,0.323518306055688,0.325402882163265,0.327008236532252,0.329434009332592,0.366593612580455,0.373071528108778,0.37703868213704,0.38377255916955,0.337322828301268,0.340903712774076,0.338382937144395,0.374498389753509,0.364596219163776,0.367349014117572,0.361952798124468,0.383042621223745,0.408887917704106,0.417925674313023,0.437830394666769,0.426989336553761,0.428845198431383,0.44914316708643,0.434812573484655,0.447625682772037
"BHS","Bahamas",0.445206817875399,0.445661199701496,0.448667270731648,0.452019748113058,0.455676152387898,0.460303953447058,0.46371280210908,0.469169554749843,0.466196342429389,0.469416447628002,0.48957840312049,0.551938134875335,0.556276381840819,0.460014940274119,0.450292806233788,0.448330618201473,0.449012813011237,0.453480500382945,0.44446944897485,0.449595468373102,0.445258287665838,0.438081637750055,0.430930344603681,0.428233222378279,0.428857295336295,0.424387685713073,0.427831425066084
"BHR","Bahrain",0.383055844791503,0.384170778535663,0.388831387010827,0.393906447409868,0.397990918692468,0.402684477479045,0.41677187281339,0.429292105485114,0.423861329906466,0.424645673800517,0.435898738538807,0.49404167211624,0.507375676555518,0.451976417125464,0.457836583301989,0.45465571661702,0.460761781868459,0.463477500411651,0.46452967248708,0.483620209330576,0.483233316642651,0.47505105488738,0.467268269873128,0.468841514307432,0.475391337168459,0.506062517329644,0.519334145918882
"BGD","Bangladesh",0.338167598646127,0.338009300237906,0.340249961663883,0.34236982343026,0.336118716716717,0.329884173206525,0.325157172825291,0.319691303831572,0.314503008122427,0.30817143204599,0.329778223637414,0.407042043360089,0.420142870443918,0.426190142131108,0.427772945079422,0.454955428159377,0.458029366135572,0.459462587496661,0.460486615474961,0.254728264086195,0.25167167553353,0.268870719138872,0.269075137855478,0.273296712160212,0.273812598783512,0.279162092587766,0.281041117917878
"BRB","Barbados",0.470970634976271,0.471503484781912,0.47406479745484,0.476544921267499,0.478515588504305,0.485322450463514,0.487064701130242,0.494846979011783,0.501348586258485,0.507025810263191,0.53143916979739,0.596438874082728,0.61017025454196,0.611208591111114,0.611089060992105,0.632373247867337,0.640933440020993,0.511507774097968,0.515327374190921,0.511192072009459,0.527362987445072,0.512589728073742,0.521457062959837,0.52231732496976,0.526482905857248,0.537376888940727,0.53612684461446
"BLR","Belarus",0.371619976469,0.378292015388071,0.378989587815653,0.385649305324351,0.386489305507772,0.385263371142061,0.384310527904785,0.382181205749074,0.405572547338965,0.401599568276915,0.399339725255304,0.351293708852037,0.371474244150657,0.392216216199334,0.433496421792469,0.432197665717801,0.442778307624711,0.471422030432035,0.475059546543885,0.468664899999366,0.468527476620114,0.48558953355921,0.510156640681843,0.515246911612815,0.520580240964627,0.495290966008276,0.490112049917615
"BEL","Belgium",0.542622646064185,0.547179274536608,0.545007468700746,0.536230701491735,0.53820639853912,0.54688663389167,0.551085969727,0.558606866354406,0.550600856244956,0.551222435494612,0.544837581133026,0.569464004631901,0.57594221521909,0.585415775123658,0.592635050009522,0.58647858383409,0.588675632228743,0.595347790744233,0.601263762508017,0.612876184018466,0.613510219109779,0.604710386537034,0.598747985656736,0.591667926784472,0.592176905298098,0.599385495283108,0.600207432355383
"BLZ","Belize",0.373631369482928,0.381904267626787,0.378102544343319,0.380660843264186,0.378663762714927,0.377974568576859,0.378449306422676,0.37938844073097,0.38421556142209,0.375153826529489,0.395264071090774,0.33915902439292,0.340379764204096,0.338317894907416,0.338222984972434,0.337325710127234,0.326188341667104,0.332553649964849,0.335079241425166,0.33176653229581,0.332596967360969,0.328757769869754,0.328429748715949,0.328169708030635,0.328787417195041,0.335257731992082,0.333388191619152
